diameter,length,weight
10,50,0.026
10,60,0.031
10,70,0.037
10,80,0.044
10,90,0.05
10,100,0.055
10,110,0.061
10,120,0.067
10,130,0.073
10,140,0.079
10,150,0.085
12,60,0.045
12,70,0.054
12,80,0.062
12,90,0.07
12,100,0.08
12,110,0.088
12,120,0.097
12,130,0.105
12,140,0.114
12,150,0.122
12,160,0.131
12,170,0.14
12,180,0.149
12,190,0.157
12,200,0.167
16,70,0.094
16,80,0.11
16,90,0.125
16,100,0.14
16,110,0.156
16,120,0.171
16,130,0.187
16,140,0.202
16,150,0.218
16,160,0.233
16,170,0.24
16,180,0.263
16,190,0.279
16,200,0.294
16,210,0.31
16,220,0.325
16,230,0.34
20,90,0.19
20,100,0.214
20,110,0.239
20,120,0.263
20,130,0.287
20,140,0.311
20,150,0.335
20,160,0.36
20,170,0.384
20,180,0.408
20,190,0.432
20,200,0.456
20,210,0.48
20,220,0.504
20,230,0.529
20,240,0.553
20,250,0.577
20,260,0.601
20,270,0.625
20,280,0.65
20,290,0.674
20,300,0.698
24,110,0.336
24,120,0.371
24,130,0.406
24,140,0.441
24,150,0.476
24,160,0.511
24,170,0.546
24,180,0.58
24,190,0.616
24,200,0.65
24,210,0.686
24,220,0.72
24,230,0.755
24,240,0.79
24,250,0.825
24,260,0.86
24,270,0.894
24,280,0.93
24,290,0.964
24,300,1.0
24,310,1.034
24,320,1.069
24,330,1.104
24,340,1.139
27,120,0.47
27,130,0.514
27,140,0.558
27,150,0.602
27,160,0.647
27,170,0.691
27,180,0.735
27,190,0.779
27,200,0.823
27,210,0.868
27,220,0.912
27,230,0.956
27,240,0.999
27,250,1.045
27,260,1.089
27,270,1.133
27,280,1.177
27,290,1.222
27,300,1.266
27,310,1.31
27,320,1.354
27,330,1.399
27,340,1.443
27,350,1.487
27,360,1.531
27,370,1.576
27,380,1.62
30,130,0.623
30,140,0.678
30,150,0.732
30,160,0.787
30,170,0.842
30,180,0.897
30,190,0.951
30,200,1.006
30,210,1.061
30,220,1.116
30,230,1.17
30,240,1.225
30,250,1.28
30,260,1.334
30,270,1.389
30,280,1.444
30,290,1.498
30,300,1.553
30,310,1.608
30,320,1.663
30,330,1.718
30,340,1.772
30,350,1.827
30,360,1.888
30,370,1.936
30,380,1.991
30,390,2.046
30,400,2.1
36,150,1.04
36,160,1.12
36,170,1.2
36,180,1.28
36,190,1.36
36,200,1.43
36,210,1.51
36,220,1.59
36,230,1.67
36,240,1.75
36,250,1.83
36,260,1.91
36,270,1.99
36,280,2.07
36,290,2.14
36,300,2.22
36,310,2.3
36,320,2.38
36,330,2.46
36,340,2.54
36,350,2.62
36,360,2.7
36,370,2.78
36,380,2.86
36,390,2.93
36,400,3.01
42,160,1.51
42,170,1.62
42,180,1.73
42,190,1.84
42,200,1.95
42,210,2.06
42,220,2.17
42,230,2.27
42,240,2.38
42,250,2.49
42,260,2.6
42,270,2.7
42,280,2.81
42,290,2.91
42,300,3.02
42,310,3.13
42,320,3.24
42,330,3.35
42,340,3.46
42,350,3.56
42,360,3.67
42,370,3.78
42,380,3.89
42,390,3.99
42,400,4.1
48,200,2.5
48,210,2.64
48,220,2.78
48,230,2.92
48,240,3.06
48,250,3.2
48,260,3.34
48,270,3.48
48,280,3.63
48,290,3.77
48,300,3.91
48,310,4.05
48,320,4.19
48,330,4.33
48,340,4.47
48,350,4.61
48,360,4.76
48,370,4.9
48,380,5.03
48,390,5.18
48,400,5.32
52,220,3.28
52,230,3.44
52,240,3.61
52,250,3.77
52,260,3.94
52,270,4.11
52,280,4.28
52,290,4.44
52,300,4.61
52,310,4.77
52,320,4.94
52,330,5.11
52,340,5.28
52,350,5.44
52,360,5.61
52,370,5.77
52,380,5.94
52,390,6.1
52,400,6.27
56,250,4.33
56,260,4.52
56,270,4.71
56,280,4.91
56,290,5.1
56,300,5.3
56,310,5.49
56,320,5.68
56,330,5.87
56,340,6.07
56,350,6.26
56,360,6.45
56,370,6.64
56,380,6.84
56,390,7.03
56,400,7.23